"Timestamp","How old are you?","Choose gender.","What is your level?","What is your income level?","Enter your ID."," ? Current career or your future career plans/field","How many devices do you own? (This includes phones, tablets, PC's, laptops and similar devices)","Which of these devices do you own?","If you own both laptop and desktop computer ,which of them do you use more ?","What is the MAIN usage of your device?","What is the price of your main device?","if you got the chance to rebuy the main computer device (laptop , pc ) you use at moment what would you choose instead , (or if you going to stick with your current device choose your device)","What is your main operating system?","Use the best choice to describe your device's performance.","How important is each of these attributes to you [Screen size?]","How important is each of these attributes to you [Portability(قابلية التنقل)]","How important is each of these attributes to you [Upgradability ?(قابل للترقية)]","How important is each of these attributes to you [The device ability to work without cable (without electricity using only battery))]","How important is each of these attributes to you [Performance ?]","How important is each of these attributes to you [Affordability?]","How important is each of these attributes to you [The existence of CD- Drive ?]","How important is each of these attributes to you [Integrated camera ?]","How important is each of these attributes to you [Multiple monitors ?]","How often do you use your device for …… daily  ? (hours) [Gaming?]","How often do you use your device for …… daily  ? (hours) [Work?]","How often do you use your device for …… daily  ? (hours) [Academic study?]","How often do you use your device for …… daily  ? (hours) [Self study (course,etc)]","How often do you use your device for …… daily  ? (hours) [Entertainment (other than gaming) الترفيه]","Choose your processor.","Choose your processor generation","What is your graphics card model","From your point of view , what do you prefer more laptop or pc , state your reasons "
"2023/04/27 7:04:17 PM GMT+3","21 or more","Female","Third","Medium","202486540","web developer","3","Laptop","I only use laptop","Study","15","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","2","2","1","1","1","1","1","2","2","0 to 2","0 to 2","2 to 4","0 to 2","2 to 4","Core i7","7","Ll kk c gh","Laptop, I can move with it everywere "
"2023/04/27 7:21:11 PM GMT+3","20","Female","Second","Medium","20221462492","Data scientist","4","Laptop;Desktop computer;Tablet","80% using laptop 20% using desktop computer","Study","26.000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","5","4","5","5","4","3","4","2","0 to 2","0 to 2","4 to 6","4 to 6","+8","Core i5","10",".","Laptop because its portability "
"2023/04/27 7:22:32 PM GMT+3","19","Male","Second","Medium","20221461330","Data scientist","4","Laptop;Tablet","I only use laptop","Gaming","18000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","4","5","4","5","5","1","3","4","4 to 6","2 to 4","2 to 4","0 to 2","2 to 4","Core i5","10","GTX 1650","Laptop "
"2023/04/27 7:23:41 PM GMT+3","20","Male","Second","Low","20221375560","Data scientist","4","Laptop;Desktop computer;Tablet","20% using laptop 80% using desktop computer","Gaming","10000","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","1","4","1","5","5","1","1","4","+8","2 to 4","4 to 6","0 to 2","+8","Core i7","6","Nvidia GTX 1650 Ti","PC, because the performance while gaming is highly better than labtop."
"2023/04/27 7:33:14 PM GMT+3","19","Female","Second","Higher medium","2022","Data scientist","4","Laptop;Tablet","I only use laptop","Study","30000","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","4","5","5","4","5","4","1","2","2","0 to 2","6 to 8","+8","+8","2 to 4","Ryzen 7","11"," NVIDIA GeForce RTX 3050","Laptop , for portability and can have the the abilities as pc "
"2023/04/27 7:35:35 PM GMT+3","21 or more","Male","Third","High","20201444610","web developer","4","Laptop","I only use laptop","Work","28000","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","3","3","2","3","2","3","1","1","1","0 to 2","6 to 8","4 to 6","+8","2 to 4","Core i7","10","GTX 1880ti","Laptop as it's More easier to carry around "
"2023/04/27 7:39:22 PM GMT+3","19","Female","Second","Medium","20221466240 ","Data scientist","4","Laptop;Desktop computer;Tablet","20% using laptop 80% using desktop computer","Study","35000","Desktop computer","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","3","3","3","2","3","2","1","1","3","0 to 2","2 to 4","4 to 6","4 to 6","0 to 2","Intel Xeon","10","Rtx 3050","PC, more easier and stable "
"2023/04/27 7:41:08 PM GMT+3","19","Female","Second","Medium","2022","Data scientist","3","Laptop;Tablet","I only use laptop","Study","15000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","5","3","4","5","3","1","3","2","0 to 2","6 to 8","+8","2 to 4","4 to 6","Core i7","10","GTX 1650","Laptop , because laptop easy to move and the weight is low and easy to use "
"2023/04/27 7:41:27 PM GMT+3","20","Female","Second","Low","012223","AI Engineer","3","Laptop;Tablet","I only use laptop","Study","18000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","5","5","5","5","3","3","3","1","0 to 2","0 to 2","4 to 6","4 to 6","2 to 4","Ryzen 7","7","Nvidia gtx","Laptop "
"2023/04/27 7:41:39 PM GMT+3","20","Female","Second","Medium","20221452375","Data scientist","5 or more","Laptop;Desktop computer;Tablet","I only use laptop","Study","10000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","5","5","5","5","5","5","3","4","3","0 to 2","4 to 6","4 to 6","4 to 6","4 to 6","Core i7","4","مش عارفة والله","لابتوب علشان اسهل في الحركة "
