Timestamp,age,gender,level,income level,income level (num),ID,Current career /future career,Data scientist?,devices count,own Laptop,own DeskTop,own Tablet,device use ratio ,main device,MAIN usage device,Surfing the internet,device price,what would you rebuy,would he chage his device,operating system,device's performance.,Screen size importance,Portability importance,Upgradability importance, working without cable importance,Performance importance,Affordability importance,CD existence importance,Integrated camera importance,Multiple monitors importance,hours Gaming,hours Work,hours Academic study,Self study hours ,Entertainment (general) hours ,sum of the time spent,processor.,is it intel ,processor generation,how powerful from 1_to_5,graphics card model,how powerful from 1_to_5,point of view
2023/04/27 11:05:28 PM GMT+3,19,Female,First,Medium,2,,Data scientist,1,4,Yes,Yes,Yes,I only use laptop,1,Study,0,15000,Laptop,0,Windows,Medium end device ,4,4,4,4,5,4,2,2,2,1,1,5,1,1,4,Core i7,1,8,4,,,Laptop 
2023/04/27 11:07:17 PM GMT+3,21 or more,Male,Third,Low,1,20201446680,Data scientist,1,2,Yes,no,Yes,I don�t have both,1,Study,0,13000,Desktop computer,0,Windows,medium high specs,3,1,5,1,5,5,1,1,1,3,3,1,3,5,10,Ryzen 5,0,4,4,Integrated AMD Graphics,2,"PC, more flexible in terms of future upgrades and performance"
2023/04/27 11:15:08 PM GMT+3,20,Female,Second,Medium,2,20221462483,mobile developer,0,4,Yes,Yes,Yes,I only use laptop,1,Study,0,8000,Laptop,0,Windows,Medium end device ,3,4,3,5,4,3,2,1,1,1,1,5,1,8,12,Ryzen 5,0,10,4,,,Laptop :Portability
2023/04/27 11:47:44 PM GMT+3,19,Female,Second,Medium,2,,Data scientist,1,3,Yes,No,Yes,80% using laptop 20% using desktop computer,1,Study,0,18000,Laptop,0,Windows,medium high specs,4,4,3,5,5,5,5,4,4,1,1,5,3,1,6,Intel Xeon,1,8,2,INTEL HD Graphics,2,Laptop 
2023/04/27 7:04:17 PM GMT+3,21 or more,Female,Third,Medium,2,202486540,web developer,0,3,Yes,No,No,I don�t have both,1,Study,0,15000,Laptop,0,Windows,Medium end device,2,2,1,1,1,1,1,2,2,1,1,3,1,3,4,Core i7,1,7,3,,,"Laptop, I can move with it everywere "
2023/04/27 7:21:11 PM GMT+3,20,Female,Second,Medium,2,20221462492,Data scientist,1,4,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,26000,Laptop,0,Windows,medium high specs,4,5,4,5,5,4,3,4,2,1,1,5,5,8,16,Core i5,1,10,4,,,Laptop because its portability 
2023/04/27 7:22:32 PM GMT+3,19,Male,Second,Medium,2,20221461330,Data scientist,1,4,Yes,No,Yes,I only use laptop,1,Gaming,0,18000,Laptop,0,Windows,medium high specs,4,4,5,4,5,5,1,3,4,5,3,3,1,3,10,Core i5,1,10,4,GTX 1650,4,Laptop 
2023/04/27 7:23:41 PM GMT+3,20,Male,Second,Low,1,20221375560,Data scientist,1,4,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Gaming,0,10000,Desktop computer,0,Windows,medium high specs,3,1,4,1,5,5,1,1,4,8,3,5,1,8,22,Core i7,1,6,3,Nvidia GTX 1650 Ti,4,"PC, because the performance while gaming is highly better than labtop."
2023/04/27 7:33:14 PM GMT+3,19,Female,Second,Higher medium,4,,Data scientist,1,4,Yes,No,Yes,I only use laptop,1,Study,0,30000,Laptop,0,Windows,high end specs,4,5,5,4,5,4,1,2,2,1,7,8,8,3,24,Ryzen 7,0,11,5, NVIDIA GeForce RTX 3050,5,"Laptop , for portability and can have the the abilities as pc "
2023/04/27 7:35:35 PM GMT+3,21 or more,Male,Third,High,5,20201444610,web developer,0,4,Yes,No,No,I don�t have both,1,Work,0,28000,Laptop,0,Windows,high end specs,3,3,2,3,2,3,1,1,1,1,7,5,8,3,20,Core i7,1,10,5,GTX 1880ti,4,Laptop as it's More easier to carry around 
