Timestamp,How old are you?,Choose gender.,What is your level?,What is your income level?,Enter your ID., ? Current career or your future career plans/field,"How many devices do you own? (This includes phones, tablets, PC's, laptops and similar devices)",Which of these devices do you own?,"If you own both laptop and desktop computer ,which of them do you use more ?",What is the MAIN usage of your device?,What is the price of your main device?,"if you got the chance to rebuy the main computer device (laptop , pc ) you use at moment what would you choose instead , (or if you going to stick with your current device choose your device)",What is your main operating system?,Use the best choice to describe your device's performance.,How important is each of these attributes to you [Screen size?],How important is each of these attributes to you [Portability(قابلية التنقل)],How important is each of these attributes to you [Upgradability ?(قابل للترقية)],How important is each of these attributes to you [The device ability to work without cable (without electricity using only battery))],How important is each of these attributes to you [Performance ?],How important is each of these attributes to you [Affordability?],How important is each of these attributes to you [The existence of CD- Drive ?],How important is each of these attributes to you [Integrated camera ?],How important is each of these attributes to you [Multiple monitors ?],How often do you use your device for …… daily  ? (hours) [Gaming?],How often do you use your device for …… daily  ? (hours) [Work?],How often do you use your device for …… daily  ? (hours) [Academic study?],"How often do you use your device for …… daily  ? (hours) [Self study (course,etc)]",How often do you use your device for …… daily  ? (hours) [Entertainment (other than gaming) الترفيه],Choose your processor.,Choose your processor generation,What is your graphics card model,,,
2023/04/27 11:15:08 PM GMT+3,20,Female,Second,Medium,20221462483,mobile developer,4,Laptop;Desktop computer;Tablet,I only use laptop,Study,8000,Laptop,Windows,Medium end device (Can run coding programs and a low-end gaming experience ),3,4,3,5,4,3,2,1,1,0 to 2,0 to 2,4 to 6,0 to 2,8,Ryzen 5,10,...,,,
2023/05/18 10:58:17 PM GMT+3,20,Female,Second,Medium,20221462483,mobile developer,4,Laptop;Desktop computer;Tablet,80% using laptop 20% using desktop computer,Study,9000,Laptop,Windows,Medium end device (Can run coding programs and a low-end gaming experience ),3,5,3,5,4,3,2,1,1,0 to 2,0 to 2,4 to 6,0 to 2,8,Ryzen 5,10,...,,,
,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28,31,0.903225806
2023/05/04 1:16:40 PM GMT+3,21 or more,Male,Second,Low,20221424242,Data scientist,2,Desktop computer,I only use PC,Gaming,14800,Laptop,Windows,"medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)",2,4,4,2,4,4,1,1,2,0 to 2,0 to 2,0 to 2,0 to 2,2 to 4,Ryzen 5,3,Rx 5700,,,
2023/05/18 11:32:07 PM GMT+3,21 or more,Male,Second,Higher medium,20221424242,Data scientist,2,Desktop computer,I only use PC,Gaming,14850,Laptop,Windows,"medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)",2,4,4,4,3,4,1,1,2,2 to 4,0 to 2,0 to 2,0 to 2,4 to 6,Ryzen 5,3,Rx 5700,,,
,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,25,31,0.806451613
2023/04/27 8:32:20 PM GMT+3,19,Male,Second,Lower medium,20221454741,Data scientist,5 or more,Laptop;Desktop computer;Tablet,I only use laptop,Gaming,21000,Laptop,Windows,"medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)",3,2,4,2,5,5,1,2,2,4 to 6,0 to 2,0 to 2,0 to 2,8,Core i7,10,Nvidia GeForce GTX 1660 Ti,,,
2023/05/18 11:41:33 PM GMT+3,19,Male,Second,Lower medium,20221454741,Data scientist,5 or more,Laptop;Desktop computer;Tablet,I only use laptop,Gaming,21000,Laptop,Windows,"medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)",2,3,4,2,5,5,1,2,2,2 to 4,0 to 2,0 to 2,0 to 2,4 to 6,Core i7,10,Nvidia GeForce GTX 1660 Ti,,,
,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,27,31,0.870967742
2023/04/28 10:28:28 AM GMT+3,19,Male,Second,Medium,20221461924,Data scientist,3,Laptop;Desktop computer;Tablet,60% using laptop 40% using desktop computer,Study,15000,Laptop,Windows,"high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)",4,4,4,4,5,3,3,2,4,0 to 2,2 to 4,2 to 4,0 to 2,4 to 6,Core i7,6,Rtx3050,,,
2023/05/19 4:58:52 AM GMT+3,19,Male,Second,Medium,20221461924,Data scientist,3,Laptop;Desktop computer;Tablet,80% using laptop 20% using desktop computer,Study,15000,Laptop,Windows,"high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)",4,3,4,4,5,3,3,2,4,0 to 2,0 to 2,2 to 4,0 to 2,4 to 6,Core i7,6,Ti 1060,,,
,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,27,31,0.870967742
2023/05/03 1:58:35 PM GMT+3,18,Male,Second,Low,20221450635,Data scientist,3,Laptop;Desktop computer;Tablet,40% using laptop 60% using desktop computer,Gaming,3000,Laptop,Windows,"Low end device. (Can do basic tasks like surfing the web or running Office programs (Word, PowerPoint))",4,4,4,4,4,4,4,4,4,4 to 6,4 to 6,4 to 6,4 to 6,4 to 6,Core i7,11,Idk what it is ,,,
